DateTime,p(mbar),Tdew(degC),rh(%),VPmax(mbar),VPact(mbar),VPdef(mbar),sh(g/kg),H2OC(mmol/mol),rho(g/m**3),wv(m/s),max.wv(m/s),wd(deg),rain(mm),raining(s),SWDR(W/m�),PAR(�mol/m�/s),max.PAR(�mol/m�/s),CO2(ppm)
2010-01-01,969.6555244755244,-4.5209090909090905,94.88391608391608,4.6002097902097905,4.365874125874126,0.2351048951048951,2.8054545454545456,4.503006993006992,1252.0312587412589,2.404895104895105,3.6963636363636367,56.44615384615385,1.4000000000000001,22910,7.076083916083916,17.55272727272727,19.55923076923077,401.1013986013986
2010-01-02,985.2760416666666,-6.271875,91.50347222222223,4.202152777777778,3.844722222222222,0.35881944444444447,2.4320833333333334,3.90375,1278.6715277777778,1.7119444444444445,3.0875000000000004,239.61770833333333,1.0,24340,25.933402777777776,58.60409722222222,62.642291666666665,397.88750000000005
2010-01-03,990.5455555555556,-5.694861111111112,92.74444444444445,4.34375,4.024027777777778,0.3202777777777778,2.5308333333333333,4.062152777777778,1283.468125,1.364513888888889,2.349375,139.83791666666667,0.5,19410,22.735069444444445,50.69013888888889,56.10138888888889,408.64374999999995
2010-01-04,989.1734027777778,-7.373125,90.97916666666667,3.870486111111111,3.5142361111111113,0.35583333333333333,2.212361111111111,3.5520833333333335,1288.752361111111,1.4952083333333333,2.1807638888888885,137.3465277777778,0.0,610,18.461805555555557,33.24743055555555,36.74659722222222,409.62430555555557
2010-01-05,981.6489583333334,-12.342083333333333,85.07319444444445,2.8559722222222224,2.3870833333333334,0.4684722222222222,1.5139583333333333,2.4316666666666666,1299.739027777778,0.7823611111111111,1.363888888888889,171.1482638888889,0.0,990,32.66708333333334,62.49611111111111,64.72,429.20902777777775
2010-01-06,976.7441666666667,-11.04701388888889,85.30208333333333,3.0974305555555555,2.6279861111111114,0.4699305555555556,1.6752083333333332,2.6908333333333334,1286.9486805555555,0.8513888888888889,1.3983333333333334,144.5245138888889,0.0,0,18.055555555555557,35.031875,37.93055555555556,440.1069444444445
2010-01-07,983.0911111111111,-10.451319444444444,84.97659722222221,3.2944444444444443,2.765625,0.5299305555555556,1.7511805555555555,2.8125694444444442,1291.979375,1.0181250000000002,1.61875,179.58715277777776,0.0,0,28.403680555555557,61.86736111111111,69.57854166666667,414.72013888888887
2010-01-08,989.7796527777778,-10.893194444444445,90.82986111111111,2.9535416666666667,2.6874305555555558,0.26583333333333337,1.690763888888889,2.7152083333333334,1307.4091666666668,3.7524305555555557,5.2555555555555555,61.87451388888889,0.1,4000,23.996597222222224,54.75256944444445,59.72895833333333,427.8354166666667
2010-01-09,984.8114583333333,-6.569652777777778,90.82708333333333,4.112152777777777,3.7349305555555556,0.37645833333333334,2.3622222222222224,3.7925,1279.020277777778,5.653611111111111,8.197708333333333,31.56097222222222,2.1,27540,6.020972222222222,15.017569444444446,18.265972222222224,406.94375
2010-01-10,985.3820833333333,-6.200625,92.47222222222223,4.152222222222222,3.8388888888888886,0.31312500000000004,2.4273611111111113,3.896111111111111,1279.0484722222222,3.265138888888889,4.654583333333333,54.73923611111111,4.2,44070,16.44472222222222,37.28173611111111,42.206805555555555,409.5569444444444
2010-01-11,989.2418055555556,-8.093402777777778,89.98055555555555,3.685,3.3175000000000003,0.368125,2.0880555555555556,3.353472222222222,1291.8293055555557,1.7884027777777776,2.5899305555555556,60.13256944444444,0.7000000000000001,13460,8.961805555555555,14.713402777777778,16.033611111111114,411.5965277777778
2010-01-12,990.1066666666668,-8.497291666666666,88.17500000000001,3.6696527777777774,3.2200694444444444,0.4498611111111111,2.025138888888889,3.251666666666667,1293.6605555555554,1.1327083333333332,1.6704166666666667,111.525,0.0,320,15.917916666666665,29.69895833333333,32.19909722222222,434.5493055555555
2010-01-13,984.2683333333334,-11.384166666666665,85.77361111111111,3.125625,2.6627083333333332,0.46291666666666664,1.685138888888889,2.705763888888889,1299.1349305555555,1.00625,1.7025694444444444,165.39777777777778,0.0,0,50.579930555555556,71.37347222222223,76.60868055555555,457.3381944444444
2010-01-14,984.5336111111111,-4.5633333333333335,84.72708333333334,5.1589583333333335,4.3556944444444445,0.8038888888888889,2.756388888888889,4.423680555555555,1264.3364583333334,1.8104166666666666,2.7652083333333333,164.87395833333332,0.0,720,27.754236111111112,60.43,63.15006944444445,419.8152777777778
2010-01-15,995.0725694444445,-4.366597222222222,84.43819444444445,5.237152777777777,4.418263888888889,0.8179166666666666,2.7660416666666667,4.439722222222222,1276.715,1.4243055555555555,2.1414583333333335,176.51416666666668,0.0,0,12.146597222222223,28.747152777777778,30.514166666666668,413.0423611111111
2010-01-16,995.2737500000001,-4.995416666666667,84.30208333333333,5.006388888888889,4.2188888888888885,0.7870138888888889,2.640347222222222,4.238333333333333,1279.931875,2.7075,4.178888888888888,182.52569444444444,0.0,0,24.856250000000003,53.04069444444444,56.95395833333334,410.8909722222222
2010-01-17,986.2120833333333,-1.0852777777777778,92.7875,6.141527777777778,5.7022916666666665,0.4391666666666667,3.6039583333333334,5.780902777777778,1255.208472222222,2.2713194444444444,3.6698611111111115,187.79583333333332,3.2,28690,18.752847222222222,42.64013888888889,48.915416666666665,411.68055555555554
2010-01-18,996.1724305555555,0.057986111111111106,85.46666666666667,7.195138888888888,6.135347222222222,1.0596527777777778,3.8398611111111114,6.158541666666667,1257.1213194444445,1.1489583333333333,2.118125,218.5279861111111,0.1,6440,20.510625,46.655277777777776,54.50458333333333,401.97569444444446
2010-01-19,994.6038194444445,0.21465277777777778,96.13680555555555,6.464930555555556,6.209236111111111,0.25583333333333336,3.8922222222222222,6.243472222222222,1261.9180555555556,0.8619444444444445,1.5558333333333332,184.39868055555556,2.4000000000000004,39510,16.465416666666666,38.96930555555556,43.70715277777778,416.975
2010-01-20,990.9104166666667,-0.7332638888888889,96.39444444444445,6.0282638888888895,5.801319444444444,0.22791666666666666,3.6499305555555557,5.854375,1261.9680555555556,1.5955555555555554,2.3649305555555555,86.05416666666666,0.0,300,31.25972222222222,68.27951388888889,73.83513888888889,422.34722222222223
2010-01-21,996.7000694444445,-7.180000000000001,91.38958333333333,3.9091666666666662,3.578333333333333,0.33041666666666664,2.237013888888889,3.591111111111111,1297.9760416666666,2.9889583333333336,4.216597222222223,40.95159722222222,0.0,0,10.981041666666666,25.77513888888889,27.978680555555556,412.11041666666665
2010-01-22,1000.639861111111,-8.426041666666666,86.09791666666666,3.7622916666666666,3.230277777777778,0.531875,2.0105555555555554,3.2281944444444446,1305.5727083333334,1.9196527777777779,2.9409722222222223,83.38444444444445,0.0,0,11.170972222222224,26.045694444444443,27.93173611111111,410.5541666666667
2010-01-23,999.1373611111111,-8.115694444444445,83.76180555555555,3.958888888888889,3.3156944444444445,0.6433333333333333,2.066875,3.318611111111111,1300.363263888889,2.1702777777777778,3.4945138888888887,150.12569444444443,0.0,0,16.15652777777778,36.818958333333335,38.84597222222222,405.59791666666666
2010-01-24,998.750625,-8.657430555555557,78.95138888888889,4.024722222222222,3.1729166666666666,0.8523611111111111,1.9780555555555555,3.175972222222222,1298.8146527777778,2.855208333333333,4.609652777777778,156.87291666666667,0.0,0,19.480763888888887,43.822361111111114,46.16048611111111,410.21944444444443
2010-01-25,1001.5411111111111,-8.580069444444444,79.36458333333333,4.038541666666666,3.1969444444444446,0.8411805555555555,1.9878472222222223,3.1922916666666667,1302.3871527777778,2.627222222222222,3.9768749999999997,104.63111111111112,0.0,1680,36.566805555555554,76.05381944444444,81.46972222222222,413.81111111111113
2010-01-26,1009.6811805555556,-14.466388888888888,80.8423611111111,2.4835416666666665,2.0015277777777776,0.48250000000000004,1.23375,1.9827777777777778,1345.0810416666668,2.1285416666666666,3.2616666666666667,79.39736111111111,0.0,2820,53.72388888888889,95.10270833333333,99.22506944444444,425.2840277777778
2010-01-27,998.4027083333333,-15.226666666666667,73.86694444444444,2.8047222222222223,1.941736111111111,0.8621527777777778,1.214236111111111,1.9509027777777779,1327.751875,2.7285416666666666,4.192152777777777,196.90972222222223,0.0,2990,38.39576388888889,86.31611111111111,97.20354166666667,430.31388888888887
2010-01-28,973.3246527777778,-3.4209722222222223,80.95708333333333,5.914861111111112,4.762708333333333,1.1529166666666668,3.0494444444444446,4.893750000000001,1241.49875,3.2355555555555555,6.111041666666667,242.89333333333332,0.4,24880,37.94847222222222,78.81118055555555,100.14215277777777,396.6069444444445
2010-01-29,961.3354166666666,-2.8641666666666667,80.96527777777777,6.131180555555556,4.952708333333334,1.1789583333333333,3.211666666666667,5.153958333333333,1223.5011111111112,3.7266666666666666,5.739236111111111,214.75347222222223,0.1,19910,33.26090277777777,72.30513888888889,77.62083333333334,397.61527777777775
2010-01-30,963.3113888888888,-5.745625,76.56923611111111,5.221527777777777,4.010902777777778,1.2097916666666668,2.5956944444444443,4.166875,1236.4965972222224,2.072986111111111,3.8693750000000002,250.0054861111111,0.2,15550,33.36263888888889,68.81541666666666,79.82493055555557,395.65486111111113
2010-01-31,975.7334722222222,-7.704930555555555,79.36250000000001,4.366875,3.4425694444444446,0.9249305555555556,2.1970833333333335,3.527638888888889,1264.391111111111,2.102847222222222,3.430138888888889,193.72090277777778,0.0,2460,46.40618055555555,94.03284722222222,111.94493055555556,404.0090277777778
2010-02-01,980.6939583333333,-5.902916666666666,76.22333333333333,5.180833333333333,3.9286111111111115,1.2522916666666668,2.495347222222222,4.005624999999999,1259.2989583333333,4.010694444444444,6.0564583333333335,213.78680555555556,0.0,3570,62.43715277777777,122.92076388888889,147.00909722222224,400.36805555555554
2010-02-02,982.039861111111,-5.5875,75.77104166666668,5.419027777777778,4.0925,1.3263194444444446,2.5990277777777777,4.171875,1259.2328472222223,4.972708333333333,7.6537500000000005,212.8722222222222,0.30000000000000004,7880,58.181041666666665,117.83548611111112,125.93861111111111,399.23333333333335
2010-02-03,979.84375,-2.8897222222222223,78.0175,6.396319444444445,4.961180555555555,1.4354166666666666,3.1573611111111113,5.066527777777778,1244.6652083333333,3.2259722222222225,5.445069444444445,236.21249999999998,3.0,19150,86.50805555555556,167.99756944444445,197.14680555555555,395.4972222222222
2010-02-04,988.4926388888889,-1.7577083333333334,86.38958333333333,6.391944444444444,5.474374999999999,0.9173611111111111,3.4522916666666665,5.538819444444445,1256.9485416666666,1.8252777777777776,2.8293055555555555,183.82986111111111,0.0,0,43.19090277777778,94.17388888888888,110.57340277777777,404.4298611111111
2010-02-05,983.8034027777778,-3.2164583333333336,83.38673611111112,5.834513888888889,4.823333333333333,1.0111805555555555,3.0552083333333333,4.902361111111111,1255.4686805555555,2.2475694444444443,3.317638888888889,183.56541666666666,0.0,0,67.13597222222222,131.963125,138.91409722222224,408.99375
2010-02-06,986.1863888888888,-2.2171527777777778,85.17638888888888,6.108819444444444,5.199791666666666,0.9086805555555555,3.286111111111111,5.272083333333333,1255.332777777778,1.1679166666666667,1.8324305555555556,120.21111111111112,0.0,0,18.926111111111112,43.6025,46.998124999999995,420.9298611111111
2010-02-07,993.9159722222222,-6.825277777777778,86.71180555555556,4.256527777777778,3.6999305555555555,0.5565277777777777,2.319097222222222,3.722777777777778,1289.2466666666667,2.7059722222222224,4.043819444444444,51.07138888888889,0.0,0,18.513819444444447,41.244305555555556,44.45784722222223,411.39930555555554
2010-02-08,987.0600694444444,-9.444583333333334,82.98333333333333,3.6027777777777774,2.9896527777777777,0.6133333333333333,1.8853472222222223,3.028125,1290.6675,2.058819444444444,3.2725694444444446,77.94777777777777,0.0,0,28.174444444444443,61.165902777777774,64.77916666666667,405.75625
2010-02-09,979.6765972222222,-10.676180555555554,74.32729166666667,3.657013888888889,2.7050694444444443,0.9520138888888889,1.7190972222222223,2.760972222222222,1280.191388888889,1.7840277777777775,2.8893055555555556,147.20659722222223,0.0,0,71.97631944444444,137.17965277777776,152.46909722222222,407.75694444444446
